"id","cantidad","fecha_compra","cliente_id","producto_id"
"1","2","2023-11-02 22:46:22.000000","413","23"
"2","2","2023-11-04 22:47:39.000000","417","28"
"3","1","2023-11-15 22:49:27.000000","421","31"
"4","3","2023-11-18 22:49:59.000000","422","30"
"5","2","2023-11-25 22:51:16.000000","419","31"
"6","1","2023-11-28 22:52:26.000000","422","24"
"7","2","2023-11-29 22:52:57.000000","414","31"
"8","1","2023-11-30 22:53:20.000000","421","24"
"12428","1","2024-11-17 23:37:20.141886","1","24"
"12429","1","2024-11-17 23:39:10.121989","1","23"
"12430","1","2024-11-17 23:50:00.562128","1","23"
"12431","1","2024-11-17 23:51:31.299886","1","23"
"12432","1","2024-11-17 23:53:31.112887","1","24"
"12433","1","2024-11-17 23:56:07.267925","1","23"
"12434","1","2024-11-17 23:56:07.273910","1","24"
"12435","1","2024-11-18 01:06:46.657021","416","30"
"12436","1","2024-11-18 01:06:46.665997","416","23"
"12437","3","2024-11-18 01:07:58.763999","416","23"
"12438","2","2024-11-18 01:11:17.299864","417","24"
"12439","1","2024-11-18 01:11:17.306844","417","25"
"12440","1","2024-11-18 01:13:05.423250","417","28"
"12441","1","2024-11-18 01:13:05.429238","417","31"
"12442","1","2024-11-18 01:13:05.434791","417","24"
"12443","2","2024-11-18 01:15:09.245751","418","30"
"12444","1","2024-11-18 01:15:09.252061","418","23"
"12445","1","2024-11-18 01:17:33.373971","418","29"
"12446","1","2024-11-18 01:17:33.375697","418","25"
"12447","1","2024-11-18 01:19:54.172105","419","23"
"12448","1","2024-11-18 01:19:54.177346","419","30"
"12449","1","2024-11-18 01:19:54.180338","419","28"
"12450","2","2024-11-18 01:21:52.501530","419","31"
"12451","1","2024-11-18 01:21:52.504603","419","23"
"12452","1","2024-11-18 01:21:52.506601","419","30"
"12453","2","2024-11-18 01:24:23.461013","420","23"
"12454","3","2024-11-18 01:24:23.465982","420","24"
"12455","1","2024-11-18 01:24:23.467976","420","25"
"12456","3","2024-11-18 01:25:17.201662","420","29"
"12457","1","2024-11-18 01:25:17.204655","420","31"
"12458","4","2024-11-18 01:26:09.363191","420","23"
"12459","4","2024-11-18 01:28:09.665083","421","28"
"12460","5","2024-11-18 01:28:09.668699","421","30"
"12461","2","2024-11-18 01:28:09.670695","421","31"
"12462","2","2024-11-18 01:29:32.225362","421","24"
"12463","2","2024-11-18 01:29:32.231345","421","28"
"12464","1","2024-11-18 01:29:32.233340","421","29"
"12465","4","2024-11-18 01:35:20.295623","422","23"
"12466","3","2024-11-18 01:35:20.301614","422","25"
"12467","3","2024-11-18 01:35:20.305602","422","28"
"12468","2","2024-11-18 01:35:20.307597","422","30"
"12469","3","2024-11-18 01:36:34.332891","422","30"
"12470","1","2024-11-18 01:36:34.336881","422","31"
"12471","1","2024-11-18 12:21:03.549481","1","24"
"12472","1","2023-12-02 10:15:22.000000","413","23"
"12473","2","2023-12-05 12:47:39.000000","417","28"
"12474","1","2023-12-10 09:33:15.000000","421","31"
"12475","3","2023-12-15 15:20:40.000000","422","30"
"12476","2","2023-12-18 18:45:00.000000","419","24"
"12480","1","2024-01-03 16:20:15.000000","420","30"
"12481","2","2024-01-08 10:50:30.000000","422","31"
"12482","3","2024-01-12 09:40:05.000000","413","23"
"12483","1","2024-01-16 14:15:55.000000","417","24"
"12486","1","2024-01-28 18:10:45.000000","418","25"
"12487","1","2024-01-31 21:15:22.000000","414","29"
"12489","1","2024-02-07 13:15:33.000000","420","30"
"12490","3","2024-02-10 11:40:50.000000","421","28"
"12491","2","2024-02-14 09:30:00.000000","413","24"
"12492","1","2024-02-18 18:20:45.000000","422","29"
"12493","2","2024-02-21 12:45:50.000000","419","23"
"12494","1","2024-02-25 15:50:22.000000","417","25"
"12495","2","2024-02-28 20:25:10.000000","418","30"
"12496","3","2024-03-02 10:10:10.000000","414","23"
"12497","1","2024-03-06 09:20:33.000000","413","28"
"12498","2","2024-03-11 17:40:22.000000","416","31"
"12499","1","2024-03-15 16:35:10.000000","420","24"
"12500","2","2024-03-19 14:25:55.000000","421","30"
"12501","1","2024-03-23 08:10:40.000000","419","29"
"12502","3","2024-03-27 11:45:00.000000","417","31"
"12503","2","2024-03-30 19:20:10.000000","422","25"
"12504","1","2024-04-02 12:15:30.000000","421","23"
"12505","2","2024-04-06 10:45:22.000000","419","28"
"12506","3","2024-04-10 16:20:10.000000","416","30"
"12509","1","2024-04-23 09:10:55.000000","422","29"
"12510","2","2024-04-27 13:20:33.000000","413","25"
"12511","1","2024-04-30 15:15:22.000000","417","28"
"12512","2","2024-05-02 08:40:33.000000","418","24"
"12513","1","2024-05-06 10:20:15.000000","420","30"
"12514","3","2024-05-10 13:45:10.000000","413","31"
"12515","2","2024-05-14 16:15:33.000000","417","28"
"12516","1","2024-05-18 11:30:00.000000","419","29"
"12517","2","2024-05-22 14:10:22.000000","422","23"
"12518","3","2024-05-26 17:25:10.000000","421","25"
"12519","1","2024-05-30 20:50:40.000000","416","28"
"12520","2","2024-06-03 09:20:15.000000","420","24"
"12521","1","2024-06-07 11:50:40.000000","419","30"
"12522","3","2024-06-11 10:35:55.000000","413","31"
"12523","2","2024-06-15 18:15:22.000000","414","28"
"12524","1","2024-06-19 15:45:33.000000","417","29"
"12525","3","2024-06-23 12:30:00.000000","421","31"
"12526","1","2024-06-27 14:40:50.000000","422","23"
"12527","2","2024-06-30 20:25:33.000000","416","25"
"12528","3","2024-07-02 16:20:10.000000","413","30"
"12529","1","2024-07-06 09:45:33.000000","420","28"
"12530","2","2024-07-10 10:35:22.000000","421","24"
"12531","3","2024-07-14 17:15:00.000000","414","29"
"12532","2","2024-07-18 14:30:55.000000","419","31"
"12533","1","2024-07-22 11:20:10.000000","417","25"
"12534","3","2024-07-26 15:40:33.000000","422","28"
"12535","2","2024-07-30 20:15:22.000000","416","30"
"12536","1","2024-08-02 09:30:10.000000","413","31"
"12537","2","2024-08-06 12:20:15.000000","420","24"
"12538","3","2024-08-10 16:45:22.000000","419","30"
"12539","1","2024-08-14 14:10:40.000000","421","29"
"12540","2","2024-08-18 11:35:33.000000","422","23"
"12541","1","2024-08-22 13:50:55.000000","417","25"
"12542","3","2024-08-26 17:25:10.000000","416","28"
"12543","2","2024-08-30 21:15:22.000000","414","31"
"12544","2","2024-09-03 08:45:33.000000","420","30"
"12545","1","2024-09-07 10:30:22.000000","422","28"
"12546","3","2024-09-11 11:20:10.000000","413","24"
"12547","2","2024-09-15 18:10:50.000000","419","31"
"12548","1","2024-09-19 15:50:40.000000","417","29"
"12549","3","2024-09-23 09:40:33.000000","414","23"
"12550","1","2024-09-27 13:25:22.000000","421","28"
"12551","2","2024-09-30 19:45:33.000000","416","31"
"12552","1","2024-10-02 09:15:22.000000","422","30"
"12553","2","2024-10-06 11:50:33.000000","420","24"
"12554","3","2024-10-10 14:20:10.000000","413","31"
"12555","1","2024-10-14 17:30:22.000000","419","28"
"12556","2","2024-10-18 15:45:33.000000","417","29"
"12557","1","2024-10-22 08:40:40.000000","421","25"
"12558","3","2024-10-26 13:20:55.000000","414","23"
"12559","2","2024-10-30 20:15:33.000000","416","30"
"12560","2","2024-09-02 10:30:22.000000","420","24"
"12561","1","2024-09-07 12:20:15.000000","419","30"
"12562","3","2024-09-14 16:45:10.000000","417","31"
"12563","2","2024-09-19 14:10:33.000000","413","28"
"12565","3","2024-10-01 08:45:33.000000","420","31"
"12566","1","2024-10-05 11:35:22.000000","414","25"
"12567","2","2024-10-10 14:50:55.000000","419","24"
"12568","3","2024-10-18 16:20:33.000000","421","28"
"12569","1","2024-10-25 19:15:22.000000","417","30"
"12570","1","2024-09-03 09:15:45.000000","418","24"
"12571","2","2024-09-10 11:50:33.000000","416","30"
"12572","1","2024-09-20 15:40:22.000000","421","28"
"12573","3","2024-09-28 20:25:10.000000","419","31"
"12574","2","2024-10-03 10:25:11.000000","422","24"
"12575","1","2024-10-08 13:45:33.000000","413","29"
"12576","3","2024-10-15 17:35:50.000000","414","28"
"12577","1","2024-10-27 21:10:40.000000","416","30"
"12578","1","2024-11-18 14:16:18.214096","423","23"
"12579","2","2024-11-18 15:57:19.532608","423","24"
"12580","1","2024-11-18 15:57:19.554548","423","23"
"12581","1","2024-11-18 15:57:19.563363","423","25"
"12582","1","2024-11-18 15:57:19.570348","423","28"
"12583","1","2024-11-18 15:57:19.578330","423","29"
"12584","1","2024-11-18 15:57:19.586301","423","30"
"12585","1","2024-11-18 15:57:19.594287","423","34"
"12586","1","2024-11-18 15:57:19.604757","423","33"
"12587","1","2024-11-18 15:57:19.614731","423","31"
"12588","1","2024-11-18 15:57:19.623263","423","35"
"12589","1","2024-11-18 15:57:19.631276","423","36"
"12590","4","2023-11-01 10:00:00.000000","423","24"
"12591","2","2023-11-01 10:05:00.000000","416","23"
"12592","2","2023-11-01 10:10:00.000000","417","25"
"12593","2","2023-11-05 11:20:00.000000","418","28"
"12594","1","2023-11-10 14:30:00.000000","419","29"
"12595","3","2023-11-15 15:40:00.000000","420","30"
"12596","1","2023-11-20 16:50:00.000000","421","34"
"12597","2","2023-11-25 17:00:00.000000","422","33"
"12598","1","2023-11-30 18:10:00.000000","416","31"
"12599","1","2023-11-30 18:20:00.000000","417","35"
"12600","2","2023-12-01 10:15:00.000000","418","36"
"12601","3","2023-12-03 11:25:00.000000","419","24"
"12602","2","2023-12-05 12:00:00.000000","420","23"
"12603","1","2023-12-10 13:10:00.000000","421","25"
"12604","3","2023-12-15 14:00:00.000000","422","28"
"12605","1","2023-12-18 16:00:00.000000","416","29"
"12606","1","2023-12-20 17:00:00.000000","417","30"
"12607","2","2023-12-22 18:00:00.000000","418","34"
"12608","2","2023-12-25 19:30:00.000000","419","33"
"12609","2","2023-12-30 10:30:00.000000","420","31"
"12610","5","2024-01-01 10:30:00.000000","421","35"
"12611","3","2024-01-05 11:30:00.000000","422","36"
"12612","2","2024-01-12 13:00:00.000000","416","24"
"12613","2","2024-01-15 14:00:00.000000","417","23"
"12614","1","2024-01-20 15:15:00.000000","418","25"
"12615","2","2024-01-22 16:30:00.000000","419","28"
"12616","3","2024-01-25 17:45:00.000000","420","29"
"12617","1","2024-01-30 18:00:00.000000","421","30"
"12618","2","2024-02-01 09:10:00.000000","422","34"
"12619","4","2024-02-05 10:20:00.000000","416","33"
"12620","1","2024-02-10 11:30:00.000000","417","31"
"12621","2","2024-02-15 13:00:00.000000","418","35"
"12622","1","2024-02-20 14:15:00.000000","419","36"
"12623","3","2024-02-25 15:45:00.000000","420","24"
"12624","2","2024-02-28 16:00:00.000000","421","23"
"12625","1","2024-03-01 09:00:00.000000","422","25"
"12626","2","2024-03-05 10:05:00.000000","416","28"
"12627","4","2024-03-10 11:10:00.000000","417","29"
"12628","1","2024-03-15 12:15:00.000000","418","30"
"12629","2","2024-03-20 13:30:00.000000","419","34"
"12630","3","2024-03-25 14:40:00.000000","420","33"
"12631","1","2024-03-30 15:50:00.000000","421","31"
"12632","3","2024-04-01 09:00:00.000000","422","35"
"12633","1","2024-04-05 10:05:00.000000","416","36"
"12634","2","2024-04-10 11:10:00.000000","417","24"
"12635","2","2024-04-15 12:15:00.000000","418","23"
"12636","3","2024-04-20 13:30:00.000000","419","25"
"12637","1","2024-04-25 14:40:00.000000","420","28"
"12638","2","2024-04-30 15:50:00.000000","421","29"
"12639","1","2024-05-01 09:00:00.000000","422","30"
"12640","2","2024-05-05 10:05:00.000000","416","34"
"12641","2","2024-05-10 11:10:00.000000","417","33"
"12642","3","2024-05-15 12:15:00.000000","418","31"
"12643","3","2024-05-20 13:20:00.000000","419","35"
"12644","1","2024-05-25 14:25:00.000000","420","36"
"12645","2","2024-05-30 15:30:00.000000","421","24"
"12646","2","2024-06-01 09:30:00.000000","422","23"
"12647","2","2024-06-05 10:35:00.000000","416","25"
"12648","1","2024-06-10 11:40:00.000000","417","28"
"12649","3","2024-06-15 12:45:00.000000","418","29"
"12650","1","2024-06-20 13:50:00.000000","419","30"
"12651","1","2024-06-25 14:55:00.000000","420","34"
"12652","2","2024-06-30 15:00:00.000000","421","33"
"12653","2","2024-07-01 09:00:00.000000","422","31"
"12654","2","2024-07-05 10:10:00.000000","416","35"
"12655","3","2024-07-10 11:20:00.000000","417","36"
"12656","2","2024-07-15 12:30:00.000000","418","24"
"12657","3","2024-07-20 13:40:00.000000","419","23"
"12658","1","2024-07-25 14:50:00.000000","420","25"
"12659","2","2024-07-30 15:00:00.000000","421","28"
"12660","3","2024-08-01 09:30:00.000000","422","29"
"12661","1","2024-08-05 10:40:00.000000","416","30"
"12662","2","2024-08-10 11:50:00.000000","417","34"
"12663","2","2024-08-15 12:00:00.000000","418","33"
"12664","3","2024-08-20 13:10:00.000000","419","31"
"12665","4","2024-08-25 14:20:00.000000","420","35"
"12666","2","2024-08-30 15:30:00.000000","421","36"
"12667","3","2024-09-01 09:40:00.000000","422","24"
"12668","2","2024-09-05 10:50:00.000000","416","23"
"12669","1","2024-09-10 11:00:00.000000","417","25"
"12670","2","2024-09-15 12:10:00.000000","418","28"
"12671","3","2024-09-20 13:20:00.000000","419","29"
"12672","1","2024-09-25 14:30:00.000000","420","30"
"12673","2","2024-09-30 15:40:00.000000","421","34"
"12674","3","2024-10-01 09:00:00.000000","422","33"
"12675","2","2024-10-05 10:10:00.000000","416","31"
"12676","3","2024-10-10 11:20:00.000000","417","35"
"12677","2","2024-10-15 12:30:00.000000","418","36"
"12678","3","2024-10-20 13:40:00.000000","419","24"
"12679","3","2024-10-25 14:50:00.000000","420","23"
"12680","2","2024-10-30 15:00:00.000000","421","25"
